Order_ID,Order_Date,Customer_Name,Region,Product,Quantity,Unit_Price,Total_Sales
185,2024-12-07,Lina,Dammam,Laptop,5,1394,6970
186,2024-02-07,Mohammed,Dammam,Headphones,4,2148,8592
187,2024-08-21,Sara,Abha,Tablet,4,973,3892
188,2024-05-01,Khaled,Dammam,Headphones,5,2523,12615
189,2024-12-24,Ahmed,Abha,Tablet,3,166,498
190,2024-10-16,Khaled,Abha,Laptop,3,1985,5955
191,2024-11-06,Sara,Jeddah,Tablet,5,2153,10765
192,2024-12-13,Nora,Riyadh,Phone,1,2630,2630
193,2024-08-13,Khaled,Dammam,Laptop,2,838,1676
194,2024-05-31,Nora,Abha,Tablet,2,1744,3488
195,2024-03-08,Mohammed,Dammam,Monitor,2,2205,4410
196,2024-09-03,Nora,Dammam,Tablet,1,3936,3936
197,2024-02-08,Sara,Abha,Phone,5,3096,15480
198,2024-02-16,Ahmed,Dammam,Headphones,5,1112,5560
199,2024-08-20,Nora,Dammam,Tablet,5,3221,16105
200,2024-11-22,Ahmed,Jeddah,Tablet,4,305,1220
